Date,Open,High,Low,Close,Volume
2018-11-07,104.4,107.059,104.36,106.812,39733567.502347
2018-11-08,106.652,107.039,105.789,106.603,26883534.673341
2018-11-09,105.73,106.305,103.734,104.528,33587741.439688
2018-11-12,104.38,104.886,101.193,101.937,35246812.280314
2018-11-13,102.603,103.714,101.709,102.007,37084303.937808
2018-11-14,103.546,103.704,100.101,100.538,41225921.198383
2018-11-15,100.558,103.277,99.5545,102.79,40192562.180301
2018-11-16,102.593,104.31,102.324,103.734,34970272.605257
2018-11-19,103.714,104.003,99.217,100.24,46736007.892446
2018-11-20,97.5312,98.6461,95.1804,97.4519,66859401.13021
2018-11-21,99.2666,100.061,97.9531,98.7801,29363377.533914
2018-11-23,97.8846,99.4552,97.7269,98.7444,14428863.155478
2018-11-26,100.388,102.156,100.2,101.997,33753218.613489
2018-11-27,101.798,102.84,100.915,102.652,30400795.92021
2018-11-28,103.357,106.662,103.327,106.454,48838853.298438
2018-11-29,105.69,106.444,104.46,105.57,29355624.442809
2018-11-30,106.047,106.305,104.757,106.226,35140938.316447
2018-12-03,108.262,108.669,106.077,107.377,36254851.115062
2018-12-04,107.229,107.913,103.654,103.963,47177631.899216
2018-12-06,101.371,104.667,100.568,104.617,51259443.48509
2018-12-07,103.823,104.847,99.9413,100.418,47018920.674871
2018-12-10,100.398,103.436,99.5346,103.089,42589553.637785
2018-12-11,105.194,106.285,102.95,104.033,44239233.537995
2018-12-12,106.226,106.603,104.469,104.508,37768652.981672
2018-12-13,104.975,106.206,104.071,104.847,32706467.709446
2018-12-14,103.694,104.687,101.053,101.57,49104687.523024
2018-12-17,100.964,101.351,97.4519,98.5747,59453329.59943
2018-12-18,99.4056,100.141,98.2083,99.6143,51480489.682796
2018-12-19,99.3162,102.403,97.1033,99.346,71186807.514974
2018-12-20,98.7246,99.9513,94.6344,97.2593,73416409.967174
2018-12-21,97.3734,98.6749,93.3697,94.1062,116116982.79285
2018-12-24,93.5781,93.855,90.034,90.1768,45860547.217781
